业务线,序号,任务ID,任务名称,创建人,任务状态,创建时间,预计完成时间,实际完成时间,任务延期时长/天,任务总时长/天,预算单ID,预算单名称,WBS编号,利润中心,利润中心编号,一级部门,二级部门,三级部门,数据量（张）,费用（元）,账单确认,任务流程
DX,DX-CJ-2023-0014,2394,【WAIC】AI PARK数据自采集-批次0629,严志田,采集中,2023/6/29,2023/6/29,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-06-29) 
DX,DX-CJ-2023-0013,2379,【福田篮球】Court方案现场测试-第三轮-批次0623,严志田,采集中,2023/6/22,2023/6/23,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-06-22) 
DX,DX-CJ-2023-0012,2366,【福田篮球】Court方案现场测试-第二轮-批次0621,严志田,采集中,2023/6/19,2023/6/21,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-06-19) 
DX,DX-CJ-2023-0011,2359,【福田篮球】Court方案现场测试-批次0615,严志田,采集中,2023/6/14,2023/6/15,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-06-14) 
DX,DX-CJ-2023-0007,2279,【WTT】乒乓球数据采集-团队自采-202304-批次0406,严志田,采集中,2023/4/6,2023/4/6,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-04-06) 
DX,DX-CJ-2023-0006,2273,【AI Park】Ranger方案数据采集-团队自采-202304-批次0409,严志田,采集中,2023/4/3,2023/4/9,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-04-03) 
DX,DX-CJ-2023-0004,2230,【AI Park】Court方案数据采集-团队自采-批次0320,严志田,采集中,2023/3/20,2023/3/20,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,0,待确认,创建(2023-03-20) 
DX,DX-CJ-2023-0010,2352,【福田篮球】Court方案数据采集-批次0609,严志田,任务完成,2023/6/5,2023/6/9,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,103,2065,已确认,创建(2023-06-05) -> 运营交付(2023-06-19) -> 标注完成(2023-06-19) 
DX,DX-CJ-2023-0009,2337,【AI PARK】篮球场地标定-202303-批次0529,严志田,任务完成,2023/5/25,2023/5/29,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2,356.8,已确认,创建(2023-05-25) -> 运营交付(2023-06-19) -> 标注完成(2023-06-19) 
DX,DX-CJ-2023-0008,2297,新洲、宝山4-5月份采集任务-批次0531,王斌凡,任务完成,2023/4/24,2023/5/31,,,,2019,智能冰箱+SKU预研静态冰箱SCG00,R-SC220888.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,35745,2083.88,已确认,创建(2023-04-24) -> 运营交付(2023-05-30) -> 标注完成(2023-05-30) 
DX,DX-CJ-2023-0005,2250,【AI PARK】Court方案精度测试-第一轮-20230327-批次0328,严志田,任务完成,2023/3/24,2023/3/28,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,131,0,待确认,创建(2023-03-24) -> 运营交付(2023-04-24) -> 标注完成(2023-04-24) 
DX,DX-CJ-2023-0003,2213,【WTT】乒乓球数据采集-批次0314,严志田,任务完成,2023/3/13,2023/3/14,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,1,0,待确认,创建(2023-03-13) -> 运营交付(2023-04-24) -> 标注完成(2023-04-24) 
DX,DX-CJ-2023-0002,2192,【AI PARK】篮球场地标定-202303-批次0308,严志田,任务完成,2023/3/2,2023/3/8,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,1,0,待确认,创建(2023-03-02) -> 运营交付(2023-04-24) -> 标注完成(2023-04-24) 
DX,DX-CJ-2023-0001,2082,【SenseLive】篮球数据采集&现场测试-20230111-批次0111,严志田,任务完成,2023/1/10,2023/1/11,,,,2500,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,9,1800,已确认,创建(2023-01-10) -> 运营交付(2023-01-30) -> 标注完成(2023-01-30) 
