业务线,序号,任务ID,任务名称,创建人,任务状态,创建时间,预计完成时间,实际完成时间,任务延期时长/天,任务总时长/天,预算单ID,预算单名称,WBS编号,利润中心,利润中心编号,一级部门,二级部门,三级部门,数据量（张）,数据存储,数据集群,费用（元）,账单确认,是否有数据包被打回,任务流程
DX,DX-BZ-2023-0105,17829,合并任务17134和17147，标注乒乓球检测和乒乓球logo完整性标注,冯律,验收中,2023/6/28,2023/6/29,,,,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,lustre,SH-40,714.36,待确认,FALSE,创建(2023-06-28) -> 文件上传(2023-06-28) -> 文件上传成功(2023-06-28) -> 运营调整任务完成时间(2023-06-28) -> 审核通过(2023-06-28) -> 标注完成(2023-06-28) -> 运营调整任务完成时间(2023-06-29) 
DX,DX-BZ-2023-0075,17061,商品检测框标注,江心雨,任务终止,2023/4/6,2023/4/30,,,,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,78,lustre,SH-40,13.75,已确认,FALSE,创建(2023-04-06) -> 文件上传(2023-04-06) -> 文件上传成功(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 任务标注中被运营撤回到审核中(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 终止任务(2023-04-06) 
DX,DX-BZ-2023-0003,16022,有预标注的wtt场地的人体检测和29关键点标注(修正标注),冯律,任务终止,2023/1/5,2023/1/8,,,,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,500,lustre,SH-40,82.6,已确认,FALSE,创建(2023-01-05) -> 文件上传(2023-01-05) -> 文件上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-06) -> 重新提交任务(2023-01-06) -> 文件上传成功(2023-01-06) -> 预标注数据上传成功(2023-01-06) -> 运营调整任务完成时间(2023-01-06) -> 审核通过(2023-01-06) -> 终止任务(2023-01-17) 
DX,DX-BZ-2023-0104,17781,篮球检测标注,冯律,任务完成,2023/6/21,2023/6/21,2023/6/23,2,2,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,3032,lustre,SH-40,148.49,已确认,FALSE,创建(2023-06-21) -> 文件上传(2023-06-21) -> 文件上传成功(2023-06-21) -> 运营调整任务完成时间(2023-06-21) -> 审核通过(2023-06-21) -> 标注完成(2023-06-21) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0103,17760,篮球检测标注,冯律,任务完成,2023/6/19,2023/6/20,2023/6/23,3,4,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,500,lustre,SH-40,341.68,已确认,FALSE,创建(2023-06-19) -> 文件上传(2023-06-19) -> 文件上传成功(2023-06-19) -> 运营调整任务完成时间(2023-06-20) -> 审核通过(2023-06-20) -> 标注完成(2023-06-20) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0102,17739,复制任务17488 2d进球识别优化,冯律,任务完成,2023/6/16,2023/6/16,2023/6/19,3,3,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2875,lustre,SH-40,64.4,已确认,FALSE,创建(2023-06-16) -> 文件上传(2023-06-16) -> 文件上传成功(2023-06-16) -> 运营调整任务完成时间(2023-06-16) -> 审核通过(2023-06-16) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0100,17718,进球识别标注,冯律,任务完成,2023/6/15,2023/6/16,2023/6/23,7,8,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,278,lustre,SH-40,28.36,已确认,FALSE,创建(2023-06-15) -> 文件上传(2023-06-15) -> 文件上传成功(2023-06-15) -> 审核不通过(2023-06-16) -> 文件上传(2023-06-16) -> 重新提交任务(2023-06-16) -> 文件上传成功(2023-06-16) -> 运营调整任务完成时间(2023-06-16) -> 审核通过(2023-06-16) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-23) 
DX,DX-BZ-2023-0101,17722,复制任务17488 2d进球识别优化,冯律,任务完成,2023/6/15,2023/6/15,2023/6/19,4,4,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,5046,lustre,SH-40,112.69,已确认,FALSE,创建(2023-06-15) -> 文件上传(2023-06-15) -> 文件上传成功(2023-06-15) -> 运营调整任务完成时间(2023-06-15) -> 审核通过(2023-06-15) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0099,17649,篮球视频视频开始时刻_进球信息标注,冯律,任务完成,2023/6/13,2023/6/14,2023/6/19,5,6,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,7,lustre,SH-40,908,已确认,TRUE,创建(2023-06-13) -> 文件上传(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 撤回任务(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 撤回任务(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传失败(2023-06-13) -> 文件上传(2023-06-13) -> 重新提交任务(2023-06-13) -> 文件上传成功(2023-06-13) -> 运营调整任务完成时间(2023-06-14) -> 审核通过(2023-06-14) -> 标注完成(2023-06-14) -> 验收中有数据包被打回(2023-06-15) -> 标注完成(2023-06-15) -> 标注验收通过(2023-06-19) 
DX,DX-BZ-2023-0098,17632,20230527to0605回流数据检测标注,储祥翠,任务完成,2023/6/12,2023/6/15,2023/6/20,5,8,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,6917,lustre,SH-40,2240.93,已确认,FALSE,创建(2023-06-12) -> 文件上传(2023-06-12) -> 文件上传成功(2023-06-12) -> 运营调整任务完成时间(2023-06-12) -> 审核通过(2023-06-12) -> 任务标注中被运营撤回到审核中(2023-06-12) -> 运营调整任务完成时间(2023-06-12) -> 审核通过(2023-06-12) -> 标注完成(2023-06-16) -> 标注验收通过(2023-06-20) 
